OPC-N2 FirmwareVer=OPC-018.1..............................BD
OPC-N2 176400715                                            
Config info:
GSC,1.000
LaserDAC,159
FanDAC,255
ToFtoSFRfactor,74
BinNo,Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15
Boundary(upper),17,27,41,60,79,123,234,388,575,909,1294,1866,2475,3092,3685,4095
ParticleVolume(um3),0.051,0.151,0.401,0.894,1.646,3.209,8.530,22.449,47.713,99.541,199.532,381.703,696.910,1150.347,1767.146,2460.612
ParticleDensity(g/ml),1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650
SampleVolumeWeighting,4.500,3.000,2.000,0.500,0.300,0.250,0.250,0.250,0.350,0.450,0.500,0.800,1.000,1.000,1.000,1.000
DataRequestInterval(s),1.398
MaxDataArraysPerFile,61798
Data:
Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,MToFBin1(us/3),MToFBin3,MToFBin5,MToFBin7,SFR(ml/s),SamplingPeriod(s),PM1(ug/m3),PM2.5,PM10
249,105,52,14,1,2,3,4,2,0,1,0,0,0,0,0,20,22,29,37,3.712,1.386,38.565,51.349,86.883
254,97,40,13,2,4,2,1,0,0,0,1,0,0,0,0,20,21,26,31,3.706,1.386,36.252,46.000,95.021
225,89,34,14,2,2,2,0,1,1,0,0,0,0,0,0,19,24,25,0,3.798,1.387,31.580,40.212,55.985
243,85,41,18,2,2,0,4,0,1,0,0,0,0,0,0,20,23,28,28,3.748,1.382,34.075,44.219,60.529
225,69,31,8,2,3,4,1,3,0,0,0,1,0,0,0,22,22,32,37,3.546,1.387,30.594,40.169,128.741
213,65,29,11,2,1,0,0,0,0,0,0,0,0,0,0,19,25,33,0,3.712,1.386,27.678,33.826,34.013
219,67,25,5,1,2,1,0,0,0,0,0,0,0,0,0,21,24,32,0,3.615,1.387,28.203,33.984,34.516
232,68,28,6,4,0,1,0,0,1,0,0,1,0,0,0,21,25,0,0,3.569,1.387,30.203,36.783,120.368
243,63,42,7,0,1,1,0,0,0,0,0,0,0,0,0,20,26,43,0,3.633,1.387,31.903,39.274,39.772
195,60,29,8,0,2,1,0,1,0,0,0,1,0,0,0,18,23,23,0,3.857,1.387,24.666,30.787,101.724
193,67,19,16,1,1,3,3,0,0,0,0,0,0,0,0,19,23,35,40,3.876,1.382,24.268,31.333,36.164
154,47,27,3,0,0,0,0,2,0,0,0,0,0,0,0,18,25,0,0,3.976,1.387,19.252,23.948,31.956
109,42,18,4,1,1,1,0,0,0,0,0,0,0,0,0,19,26,27,0,3.942,1.387,14.700,18.369,18.788
91,21,11,7,0,0,0,0,0,1,0,0,0,0,0,0,20,25,0,0,3.876,1.387,10.418,12.923,23.470
71,19,10,3,0,0,1,0,0,0,0,0,0,0,0,0,18,23,0,0,3.930,1.387,8.409,10.426,10.765
69,11,8,4,0,0,1,0,0,0,0,0,0,0,0,0,18,24,0,0,3.957,1.387,7.085,8.814,9.151
69,20,9,2,0,1,0,0,0,1,0,0,0,0,0,0,19,23,27,0,3.941,1.383,8.219,10.184,20.612
67,21,7,5,0,0,2,0,0,0,0,0,0,0,0,0,21,22,0,0,3.824,1.387,8.271,10.546,11.215
70,20,13,1,0,1,1,0,1,1,0,0,0,0,0,0,19,23,25,0,3.841,1.358,9.202,12.213,27.639
61,14,5,5,3,0,0,0,0,0,0,0,0,0,0,0,20,25,0,0,3.814,1.387,6.840,8.502,8.575
68,32,9,6,1,1,0,1,0,0,0,0,0,1,0,0,19,22,27,31,3.842,1.387,9.935,12.729,81.293
98,27,13,3,0,1,2,0,1,0,0,0,0,0,0,0,19,22,29,0,3.858,1.387,11.774,15.134,19.945
74,37,11,5,0,2,1,1,0,0,0,0,0,0,0,0,19,25,31,31,3.872,1.387,11.077,14.418,16.113
73,24,8,1,0,0,1,0,0,0,1,0,0,0,0,0,21,23,0,0,3.766,1.381,9.167,11.129,31.849
98,23,8,5,1,2,1,1,0,0,0,0,0,1,0,0,19,23,49,33,3.801,1.387,10.888,13.861,83.538
81,20,16,4,0,0,1,1,0,0,0,0,0,0,0,0,20,23,0,39,3.775,1.387,10.483,13.637,15.272
98,22,7,1,0,0,0,1,0,0,0,0,0,0,0,0,18,23,0,37,3.860,1.387,10.226,11.959,13.217
65,10,6,2,2,0,0,0,2,0,0,1,0,0,0,0,19,16,0,0,3.865,1.387,6.544,8.571,61.553
81,16,9,4,1,2,0,1,0,1,0,0,1,0,0,0,18,24,30,61,3.914,1.387,8.727,11.412,88.554
67,17,10,2,0,1,0,1,0,0,0,0,0,0,0,1,19,25,25,37,3.910,1.381,7.958,10.055,63.566
70,20,7,4,0,1,2,1,1,1,0,0,0,0,0,0,17,24,23,31,4.012,1.387,7.944,11.030,26.987
78,23,9,3,2,3,3,1,0,3,0,1,0,0,0,0,20,22,28,31,3.920,1.387,9.329,13.693,91.327
76,22,14,4,2,1,2,2,1,0,0,0,0,0,0,0,20,24,31,40,3.859,1.387,9.941,14.184,21.510
76,30,6,7,0,0,1,1,1,0,0,0,0,0,0,0,19,32,0,31,3.871,1.387,9.762,12.644,18.321
79,12,9,1,0,1,1,0,0,0,0,0,0,0,0,0,20,23,25,0,3.841,1.387,8.123,9.957,10.344
86,28,7,3,3,1,1,0,0,0,0,0,1,0,0,0,20,23,27,0,3.795,1.387,10.465,12.994,80.861
73,22,8,1,1,3,0,0,2,0,0,0,0,0,0,0,18,29,28,0,3.875,1.382,8.737,11.475,19.843
104,29,9,3,2,1,0,0,1,1,0,1,0,0,0,1,19,22,25,0,3.881,1.387,11.812,14.743,126.344
99,24,12,3,2,1,2,2,0,0,0,0,0,0,1,0,18,26,17,28,3.944,1.387,11.158,14.795,77.430
101,21,17,8,0,0,2,0,0,1,0,0,0,0,0,0,19,23,0,0,3.931,1.387,11.828,15.548,26.579
80,17,13,0,0,0,1,0,0,0,0,0,0,0,0,0,19,0,0,0,3.923,1.387,9.085,11.122,11.452
99,22,7,3,0,3,1,0,1,1,1,0,0,0,0,0,18,22,27,0,3.972,1.387,10.138,13.106,47.042
87,19,15,4,1,0,1,1,2,0,1,1,0,0,0,0,19,26,0,31,3.953,1.382,10.214,14.053,86.953
108,33,16,6,0,1,0,1,0,0,0,0,1,0,0,0,20,25,27,39,3.859,1.387,13.687,17.161,84.829
118,43,14,2,0,0,1,1,1,1,0,0,0,0,0,0,19,22,0,33,3.874,1.387,14.997,18.820,34.985
105,43,21,2,0,1,1,3,0,1,0,0,0,0,0,0,20,21,23,32,3.799,1.387,15.418,20.461,35.368
127,37,14,5,2,0,0,2,1,3,0,1,0,0,0,0,20,24,0,33,3.761,1.387,15.546,20.425,105.716
99,46,24,8,5,2,3,2,2,0,1,0,0,0,0,0,18,23,30,33,3.905,1.387,15.774,23.011,54.309
116,47,16,2,3,0,2,1,0,1,0,0,0,0,0,0,20,96,0,35,3.812,1.386,15.942,20.387,33.033
118,37,9,3,0,1,1,1,0,1,0,0,0,1,0,0,17,20,29,29,4.002,1.382,13.266,16.311,92.830
80,39,15,3,1,1,1,0,1,0,0,0,0,0,0,0,18,21,23,0,4.044,1.387,11.680,15.101,19.409
107,45,18,2,1,1,2,0,1,1,0,0,0,0,0,0,20,24,27,0,3.889,1.387,15.034,19.496,34.749
108,38,11,4,1,3,2,1,1,0,0,0,0,0,0,0,19,23,27,31,3.891,1.387,13.431,17.648,23.767
114,28,16,3,1,1,0,0,1,0,0,0,0,0,0,0,19,24,27,0,3.892,1.387,13.295,16.497,20.663
