Sample File,C:\Users\Marduk\Documents\SMPS_data\r20161122_SMPS.6.7.S80
Classifier Model,3080
DMA Model,3081
DMA Inner Radius(cm),0.00937
DMA Outer Radius(cm),0.01961
DMA Characteristic Length(cm),0.44369
CPC Model,3775 Low Flow
Gas Viscosity (kg/(m*s)),1.822e-005
Mean Free Path (m),6.642e-008
Channels/Decade,64
Multiple Charge Correction,FALSE
Nanoparticle Aggregate Mobility Analysis,FALSE
Diffusion Correction,FALSE
Units,dw/dlogDp
Weight,Number
10,11/22/16,15:43:16,,1382.69,521.846,1164.52,798.625,833.349,809.371,934.464,1461.29,1257.4,1624.77,1055.87,1433.27,1176.62,1233.56,1184.54,1022.23,1111.48,1319.22,1196.25,1125.59,1178.73,1055.48,966.317,1049.73,1052.47,772.898,813.782,861.714,945.356,690.425,619.72,886.128,520.529,865.253,711.064,412.322,590.211,416.566,740.934,601.454,709.257,716.567,461.823,755.355,604.149,384.974,606.464,408.512,457.58,513.551,492.102,439.84,440.365,503.194,286.399,316.187,311.005,312.46,80.7713,202.849,245.716,165.148,227.863,155.463,139.451,277.976,129.577,87.7074,132.909,238.784,49.1754,204.998,145.899,80.0247,40.7825,95.992,87.1051,232.138,32.2166,91.6445,65.9093,107.511,27.3965,64.6758,75.9991,28.8835,88.4548,29.8987,30.5443,30.9892,94.3425,0,32.6581,0,0,34.5198,0,93.5305,13.6306,36.6058,37.2502,37.9179,0,0,0,0,0,120,30,FALSE,1,None,1.7,0.3,0.3,0.3,10.6283,9735,21.2875,1000,1,,Normal Scan,2.93,12.4094,1000,48.2574,78.4978,56.9856,29.9614,2.05207,799.886,
11,11/22/16,15:45:45,,1067.09,769.645,306.815,338.135,164.184,292.409,103.617,74.8814,36.479,246.9,68.8326,201.609,191.733,417.582,380.953,801.101,507.418,564.404,796.288,853.05,1080.67,1503,1509.7,1979.66,2380.57,2139.53,2449.68,2822.81,2907.63,2191.55,2093.66,2153.78,2183.99,1609.01,1385.1,1284.49,1450.87,1236.8,1051.61,848.421,849.055,876.927,728.671,749.708,465.697,601.496,475.719,484.062,418.329,431.135,336.461,341.031,299.379,365.293,222.161,170.314,166.951,132.4,174.918,201.397,137.769,219.72,138.264,200.241,94.6366,113.831,51.3222,106.096,78.5257,50.1328,113.685,63.2605,136.528,89.5516,63.1327,24.4197,49.6912,25.1364,0,52.115,0,26.8777,27.3965,55.8722,113.226,10.5356,18.73,0,30.5443,0,31.4475,0,65.3161,33.1684,0,0,0,35.6823,0,0,0,0,38.2592,0,0,0,0,120,30,FALSE,1,None,1.7,0.3,0.3,0.3,10.6283,9735,21.2875,1000,1,,Normal Scan,2.93,12.4094,1000,61.1058,76.3805,65.0362,59.3523,1.67272,862.998,
12,11/22/16,15:48:15,,1165.49,1389.25,1117.86,2367.18,2736.94,3640.44,2770.1,3375.16,3762.92,3443.72,3190.56,2566.25,2619.05,2599.55,2269.82,1859.06,1827.71,1429.1,1522.55,945.515,1158.48,1124.57,849.804,852.016,849.279,770.638,634.396,1164.14,1214.82,1101.55,1435.77,1357.94,1464.06,1167.48,1044.34,851.95,910.87,1038.01,821.338,775.905,668.258,785.347,904.915,712.67,709.409,755.835,781.753,926.858,642.93,873.906,813.106,658.941,796.927,763.31,694.769,788.535,573.478,464.089,620.584,410.129,418.263,475.178,427.846,531.403,148.216,258.01,265.852,290.116,163.754,126.88,52.9974,91.9162,70.0647,23.7435,97.6914,95.992,31.1297,43.9152,51.1771,26.0575,0,53.7553,27.3965,64.6758,47.6926,28.8835,29.4849,0,0,92.9676,0,9.06599,56.1107,0,72.3047,99.1172,70.1826,35.6823,0,0,0,37.9179,38.2592,0,0,0,0,120,30,FALSE,1,None,1.7,0.3,0.3,0.3,10.6283,9735,21.2875,1000,1,,Normal Scan,2.93,12.4094,1000,39.5415,68.3185,50.9751,28.9026,1.9968,1343.52,
13,11/22/16,15:50:44,,3501.61,2829.24,3066.11,2938.74,2717.19,3067.98,2487.04,2782.98,3055.62,2778.28,2774.86,3267.88,2882.1,3140.9,3220.88,2602.41,3343.28,2835.69,2598.94,2743.86,2174.64,2828.14,2391.2,2735.59,2769.18,2532.49,2475.56,2105.81,2023.35,1747.23,1734.94,1726.75,1834.32,2041.08,1835.94,1785.16,1751.96,1763.6,1698.13,1612.32,1540.79,1775.79,1350.43,1377.23,1412.79,1455.41,1094.38,1310.23,1108.8,940.437,597.916,820.013,841.416,726.875,868.463,529.709,649.027,559.214,476.731,217.775,284.548,310.03,192.871,216.103,212.914,202.195,134.845,202.409,114.135,273.942,155.336,136.06,29.1244,47.487,121.7,88.5713,88.3711,43.9152,0,26.0575,53.0886,26.8777,82.1895,83.8083,56.6129,57.7671,88.4548,89.6962,0,30.9892,18.2673,13.4803,0,0,0,0,35.0913,0,0,0,0,0,0,0,0,0,0,120,30,FALSE,1,None,1.7,0.3,0.3,0.3,10.6283,9735,21.2875,1000,1,,Normal Scan,2.93,12.4094,1000,45.8377,62.9148,50.7014,21.6739,1.84066,1927.71,
14,11/22/16,15:53:14,,4231.62,3359.84,3177.49,3072.57,2608.86,3023.21,3260.5,3423.87,3839.25,3112.4,3401.3,3224.67,3007.99,3442.66,3042.44,3799.84,3362.6,3510.77,2912.9,2575.89,2411.11,2780.83,3128.47,2735.37,2848.43,2269.31,2501.44,1836.23,1530.7,1947.02,2392.32,1984.67,1971.09,1739.05,1969.26,2138.74,1566.35,1974.42,1765.86,1593.48,1769.15,1633.49,1626.83,1414.05,1597.17,1550.7,1424.38,1501.17,1318.18,1051.19,1104.39,1246.66,984.865,836.073,700.066,739.675,715.5,660.716,786.181,382.996,507.581,716.322,398.211,396.142,270.876,236.627,171.338,223.985,233.586,162.037,45.4738,68.9371,116.775,94.974,75.3413,233.403,82.087,125.682,0,26.0575,53.0886,80.633,54.793,0,56.6129,28.8835,0,29.8987,0,0,31.4475,64.327,0,0,33.9668,0,35.0913,0,0,0,37.2502,0,0,0,39.3252,0,0,120,30,FALSE,1,None,1.7,0.3,0.3,0.3,10.6283,9735,21.2875,1000,1,,Normal Scan,2.93,12.4094,1000,45.5159,64.5006,51.2916,21.6739,1.87596,2128.89,
15,11/22/16,15:55:43,,3171.19,2391.83,2254.64,1161.19,1329.31,1058.58,1239.53,1384.47,1310.51,1192.86,1592.36,1866.97,1568.83,1905.88,2157.91,1515.88,1705.89,1596.64,1736.6,1636.54,2090.23,1884.32,1802.36,2168.37,1538.19,1447.95,1421.2,1381.59,1191.74,1546.31,1320.77,1349.7,1308.78,1133.8,1218.42,1255.36,1136.02,1325.91,1394.81,1134.04,1232.8,1158.34,1065.93,1073.58,1265.68,981.398,1153.66,813.565,819.342,686.325,677.995,637.459,695.91,424.216,475.697,578.564,394.223,369.742,271.828,349.013,383.843,345.769,344.189,141.675,118.277,129.713,84.9537,144.883,130.971,77.8846,113.685,114.895,70.0647,71.2305,99.3496,103.884,64.7916,94.0348,61.9454,47.8989,0,26.8777,0,83.8083,0,57.7671,0,0,30.5443,0,0,0,0,33.1684,0,34.5198,0,0,35.9836,36.6058,0,0,0,0,0,0,0,120,30,FALSE,1,None,1.7,0.3,0.3,0.3,10.6283,9735,21.2875,1000,1,,Normal Scan,2.93,12.4094,1000,49.4974,68.0978,54.2225,21.6739,1.88643,1266.19,
16,11/22/16,15:58:13,,3135.95,3775.83,2068.87,2594.01,2084.48,1621.62,2039.97,2388.77,1899.81,1417.85,2283.68,2455.98,2016.75,1708.27,2467.86,2426.81,2573.04,2704.86,2438.52,2193.73,2128.07,2371.96,2361.64,1842.11,2177.13,2353.46,1501.7,2366.74,2381.33,1985.52,1925.43,1455.71,1898.87,1499.65,1573.92,1669.6,1561,1484.33,1560.59,1511.47,1257.18,1225.5,1175.89,1249.8,1080.16,1135.4,1129.4,1212.93,1145.96,905.938,1006.52,1048.04,944.436,764.242,751.623,716.295,651.628,507.335,226.521,312.612,359.921,337.163,386.895,284.117,285.2,284.893,129.577,158.204,167.132,94.8946,41.6517,193.644,157.438,56.2812,64.7908,71.5724,74.5368,0,0,52.115,26.5443,81.6326,86.8027,50.1292,0,115.534,0,0,30.5443,0,31.4475,0,32.6581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,30,FALSE,1,None,1.7,0.3,0.3,0.3,10.6283,9735,21.2875,1000,1,,Normal Scan,2.93,12.4094,1000,48.5928,65.9722,53.0544,22.4679,1.86688,1656.4,
17,11/22/16,16:00:42,,3419.83,3122.32,2783.01,2365.08,2550.27,2404.68,3015.44,2524.76,2518.63,2225.4,2502.38,3081.9,2680.49,2988.53,2662.53,2914.11,2259.5,2329.72,2406.14,2800.22,2594.22,2497.22,2231.16,1833.11,2121.45,2053.52,1997.05,2083.5,1755.84,1762.31,1534.29,1739.04,1893.18,1780.16,1400.81,1951.03,1282.12,1435.64,1729,1339.22,1044.87,1029.94,1200.05,1243.81,1121.67,1031.41,1053,1164.05,1023.43,1098.81,976.263,873.858,768.635,693.565,565.132,788.529,289.056,412.21,397.906,315.03,309.35,295.442,214.224,228.391,257.177,163.514,145.837,136.979,110.757,67.1428,151.514,76.6627,0,71.2305,48.0166,48.8393,74.5368,50.2729,0,26.0575,26.5443,53.7553,0,27.9361,28.3065,28.8835,58.9699,29.8987,0,61.9784,31.4475,0,65.3161,0,0,0,0,0,35.9836,36.6058,0,0,0,0,0,0,0,120,30,FALSE,1,None,1.7,0.3,0.3,0.3,10.6283,9735,21.2875,1000,1,,Normal Scan,2.93,12.4094,1000,44.8056,62.2103,50.0965,21.6739,1.8404,1728.46,
18,11/22/16,16:03:12,,2603.38,2042.76,2530.89,2371.44,1973.26,1849.4,2357.83,2317.19,2958.57,2357.69,2354.26,2013.97,3331.34,2174.05,2401.33,2186.43,2667.85,2008.94,2041.93,2025.09,2055.82,1796.54,1778.71,1445.44,1733.12,1161.07,1635.35,1355.58,1402.15,1077.83,1425.37,1240.99,1031.46,1072.03,1310.99,1136.16,1029.47,1363.59,1093.63,1201.34,1123.23,750.016,1172.7,1050.6,1110.21,1130.17,1123.33,891.909,900.842,1055.15,907.155,763.124,742.208,756.51,592.538,755.958,436.66,414.949,280.542,278.63,284.548,206.595,331.72,231.232,141.367,243.544,166.002,150.3,30.845,82.1179,94.6492,95.779,70.0647,8.79419,63.1327,97.6786,49.6912,0,0,78.1726,26.5443,0,0,0,0,57.7671,0,29.8987,30.5443,30.9892,94.3425,0,0,0,0,22.9124,11.7996,0,0,0,0,0,38.2592,38.9643,0,0,0,120,30,FALSE,1,None,1.7,0.3,0.3,0.3,10.6283,9735,21.2875,1000,1,,Normal Scan,2.93,12.4094,1000,43.6543,63.8492,50.5961,33.3762,1.87817,1452.48,
19,11/22/16,16:05:42,,1816.86,1956.37,2000.9,1991.04,1973.26,1742.87,2252.02,2005.56,1606.03,2011.99,1872.66,2072.66,2331.36,1840.03,1578.64,1971.85,1461.43,1338.48,1589.55,1866.15,1911.19,1243.47,1219.22,1462.42,852.402,910.823,802.137,935.874,842.151,966.853,1043.74,1412.28,1108.26,1049.66,1046.2,1027.21,887.762,1029.18,1366.91,1032.78,964.911,1179.19,845.468,599.069,1269.92,1051.86,990.799,975.141,825.54,968.514,935.071,1016.59,735.437,579.429,602.245,562.275,681.248,489.783,527.517,234.152,309.35,234.308,241.519,116.366,285.2,263.51,280.749,65.7805,105.442,162.037,113.685,91.9162,93.4196,17.5884,31.8903,71.5724,49.6912,0,55.3174,47.8989,21.4542,5.15403,0,0,0,28.8835,29.4849,0,0,0,0,0,0,66.3367,0,0,0,0,0,0,0,0,0,0,0,0,0,120,30,FALSE,1,None,1.7,0.3,0.3,0.3,10.6283,9735,21.2875,1000,1,,Normal Scan,2.93,12.4094,1000,45.2692,67.0787,53.0204,33.3762,1.92198,1222.7,
