Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122
Date,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16,07/27/16
Start Time,10:55:47,10:57:51,10:59:51,11:01:51,11:10:07,11:12:10,11:14:10,11:16:10,11:18:10,11:20:10,11:22:10,11:24:10,11:26:10,11:28:10,11:30:10,11:32:10,11:34:10,11:36:10,11:38:10,11:40:10,11:42:10,11:44:10,11:46:10,11:48:10,11:50:10,11:52:10,11:54:10,11:56:10,11:58:11,12:00:11,12:02:11,12:04:11,12:06:11,12:08:11,12:10:11,12:12:11,12:14:11,12:16:11,12:18:11,12:20:11,12:22:11,12:24:11,12:26:11,12:28:11,12:30:11,12:32:11,12:34:11,12:36:11,12:38:11,12:40:11,12:42:11,12:44:11,12:46:11,12:48:11,12:50:11,12:52:11,12:54:11,12:56:11,12:58:11,13:00:11,13:02:11,13:04:11,13:06:11,13:08:11,13:10:11,13:12:11,13:14:11,13:16:11,13:18:11,13:20:11,13:22:11,13:24:11,13:26:11,13:28:11,13:30:11,13:32:11,13:34:11,13:36:11,13:38:11,13:40:11,13:42:11,13:44:11,13:46:11,13:48:11,13:50:11,13:52:11,13:54:11,13:56:11,13:58:11,14:00:11,14:07:49,14:15:23,14:17:27,14:19:27,14:21:27,14:23:27,14:32:14,14:34:18,14:36:18,14:38:18,14:40:18,14:42:18,14:44:18,14:46:18,14:48:18,14:50:18,14:52:18,14:54:18,14:56:18,14:58:18,15:00:18,15:02:18,15:04:18,15:06:18,15:08:18,15:10:18,15:12:18,15:14:18,15:16:18,15:18:18,15:20:18,15:22:18
Diameter Midpoint
8.51,0,0,0,0,0,101801,0,0,0,0,0,0,0,0,0,0,91957.6,0,0,0,0,0,968306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52098.1,0,0,0,0,0,0,0,0,0,0,52098.1,0,0,0,499161,3.96843e+008,1.11789e+007,1.18901e+008,0,295559,712606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10433.8,0,0,0,0,0,863259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107907,0,107907,107907,0,0,107907,0,334156,4.2729e+008,1.256e+007,1.19342e+008,0,10433.8,323722,141913,0,107907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114380,0,0,0,0,0,0,114380,0,0,311525,4.71832e+008,1.27695e+007,2.58543e+007,0,114380,228760,192714,0,0,0,114380,0,82765.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,535530,0,0,0,0,0,0,0,0,0,121574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121574,0,258779,121574,0,0,0,519901,4.81937e+008,1.40699e+007,9.96185e+006,121574,0,258779,243149,0,0,0,0,0,33602.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,887116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129102,129102,0,0,0,0,0,0,0,0,112505,0,0,0,0,645509,5.1341e+008,1.37229e+007,6.47573e+006,258204,129102,568217,68407,0,0,129102,0,0,0,0,0,129102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.23844e+006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137604,0,0,0,0,0,0,0,540424,5.42904e+008,1.25797e+007,1.50543e+006,137604,0,339900,64692,137604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146548,0,0,0,0,0,0,0,1.07287e+006,0,146548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157189,5.78912e+008,1.41799e+007,1.31893e+006,47034.4,0,633225,0,146548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10.9,0,0,0,0,155970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,483485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155970,155970,0,0,0,422741,6.23764e+008,1.4826e+007,467909,105911,155970,1.15253e+006,0,0,0,0,155970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 11.3,0,0,0,0,0,0,166433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96395.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166433,0,0,0,0,166433,0,0,166433,0,713931,6.71982e+008,1.38475e+007,665733,166433,0,230540,0,0,0,0,0,0,0,0,0,0,0,166433,0,0,0,0,0,0,0,0,0,0,0,0,0
 11.8,0,0,177679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177679,6.97612e+008,1.63713e+007,177679,0,0,516054,177679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
